CCOMP96,CCOMP04,REG96A04,codcomp,personas
199056007,199056010,1,199056007,30
199056008,199056011,1,199056008,206
199058001,199058014,1,199058001,2
199058008,199058008,1,199058008,56
199058009,199058012,1,199058009,52
199064004,199064009,1,199064004,224
199065001,199065005,1,199065001,154
199070002,199070005,1,199070002,52
199072002,199072021,1,199072002,73
199072010,199072011,1,199072010,6
199077006,199077009,1,199077006,23
199077007,199077008,1,199077007,89
199099001,199099036,1,199099001,6
199099002,199099039,1,199099002,31
199099004,199099007,1,199099004,15
199099009,199099005,1,199099009,16
199099010,199099006,1,199099010,8
199099014,199099015,1,199099014,31
199108001,199108010,1,199108001,56
199151001,199151011,1,199151001,380
199151006,199151007,1,199151006,220
199166009,199166019,1,199166009,79
199166017,199166800,1,199166017,75
199167013,199167033,1,199167013,24
199167015,199167015,1,199167015,73
199167017,199167049,1,199167017,53
199167018,199167040,1,199167018,32
199167020,199167024,1,199167020,58
199167021,199167027,1,199167021,4
199208006,199208007,1,199208006,76
199251008,199251012,1,199251008,103
199255011,199255012,1,199255011,58
199266012,199266034,1,199266012,41
199266013,199266041,1,199266013,80
199266014,199266040,1,199266014,26
199266016,199266056,1,199266016,21
199266018,199266020,1,199266018,45
199266019,199266022,1,199266019,102
201009020,201009806,1,201009020,18
201009021,201009801,1,201009021,49
201009023,201009814,1,201009023,43
201016010,201016010,1,201016010,16
201017002,201017800,1,201017002,8
201023008,201023800,1,201023008,92
201026003,201009813,1,201026003,56
201026406,201119800,1,201026406,22
201121012,201121800,1,201121012,6
201127007,201228803,1,201127007,190
201221019,201221800,1,201221019,23
201221036,201221804,1,201221036,40
201227416,201121817,1,201227416,19
201228022,201228800,1,201228022,2
201327023,201327804,1,201327023,27
201328164,201328800,1,201328164,1
204002006,204002800,1,204002006,3
205002004,205002800,1,205002004,22
206003003,206003003,1,206003003,9
207002017,207002021,1,207002017,35
207003003,207003811,1,207003003,10
207003004,207003813,1,207003004,2
207003026,207003800,1,207003026,16
207007010,207007801,1,207007010,19
207009002,207209807,1,207009002,34
207009003,207209805,1,207009003,32
207009005,207209800,1,207009005,5
207012001,207012807,1,207012001,10
207012005,207012809,1,207012005,42
207012008,207012800,1,207012008,44
207012009,207012802,1,207012009,116
207012010,207012804,1,207012010,22
207013008,207013800,1,207013008,32
207013025,207013805,1,207013025,36
207014021,207014022,1,207014021,18
207104075,207104500,1,207104075,1
207305042,207305405,1,207305042,16
208002013,208002800,1,208002013,5
208007003,208009800,1,208007003,7
208205001,208205800,1,208205001,10
208205002,208205002,1,208205002,25
209007005,209102800,1,209007005,4
301013002,301013027,1,301013002,48
301013007,301013800,1,301013007,10
301022003,301022800,1,301022003,216
301025003,301017400,1,301025003,19
301101002,301101800,1,301101002,6
301102013,301102802,1,301102013,17
301102016,301102800,1,301102016,18
301114031,301114804,1,301114031,82
301114228,301114400,1,301114228,17
301203016,301203400,1,301203016,141
301214001,301214803,1,301214001,314
301214015,301214028,1,301214015,45
