cod;depto_origen;depto_destino;personas_mig;personas_mig_18_25;personas_mig_26_35;personas_mig_100k;pob_origen;pob_destino;dist;dist_km;pbi_origen;pbi_porcen_ori;pbi_destino;pbi_porcen_des;pbi_origen_millardos;pbi_destino_millardos;largo_limite;dummy_limit;empresas_origen;empresas_destino;menores_25_origen;menores_25_destino;pob_destino_k;pob_origen_k;nom_depto_orig;nom_depto_des;edad_prom_ori;porc_ocupados_ori;edad_prom_des;porc_ocupados_des;tasa_desemp_mujeres_2011_ori;tasa_desemp_varones_2011_ori;tasa_desemp_total_2011_ori;tasa_desemp_mujeres_2011_des;tasa_desemp_varones_2011_des;tasa_desemp_total_2011_des;log_pbi_destino;log_dist_km;log_pbi_origen_millardos;log_pbi_destino_millardos;log_pob_destino_k;log_pob_origen_k;log_edad_prom_des;log_porc_ocupados_des
1004;10;4;208;29;53;198;164298;84698;322429;322;51311595;5,5;17048887;1,8;51,312;17,049;;False;188;88;62922;33360;84,698;164,298;MALDONADO;CERRO LARGO;35,05074924831708;73,44975086524454;35,614748872464524;65,58203917553142;7,7;3,7;5,5;3,8;1,7;2,6;16,651595480970684;5,7745515455444085;3,937924642950799;2,836091550983094;4,439091988628338;5,101681852114599;3,5727598462322026;4,183301865405959
1104;11;4;35;5;15;34;113107;84698;444743;445;26828524;2,9;17048887;1,8;26,829;17,049;;False;144;88;46112;33360;84,698;113,107;PAYSANDU;CERRO LARGO;34,56219332136826;67,06215335353652;35,614748872464524;65,58203917553142;7,4;4,9;5,9;3,8;1,7;2,6;16,651595480970684;6,09807428216624;3,289483392032154;2,836091550983094;4,439091988628338;4,728334273337693;3,5727598462322026;4,183301865405959
1204;12;4;20;2;5;18;54765;84698;486397;486;24297744;2,6;17048887;1,8;24,298;17,049;;False;67;88;22474;33360;84,698;54,765;RIO NEGRO;CERRO LARGO;34,17324933808089;67,71526102054028;35,614748872464524;65,58203917553142;8,2;5,6;6,7;3,8;1,7;2,6;16,651595480970684;6,186208623900494;3,1903940424325503;2,836091550983094;4,439091988628338;4,00305130377571;3,5727598462322026;4,183301865405959
1304;13;4;162;32;32;119;103473;84698;240871;241;20212707;2,2;17048887;1,8;20,213;17,049;64044,0;True;62;88;42934;33360;84,698;103,473;RIVERA;CERRO LARGO;33,98187933083993;65,9688442829875;35,614748872464524;65,58203917553142;6,9;5,2;5,9;3,8;1,7;2,6;16,651595480970684;5,484796933490655;3,006325961764861;2,836091550983094;4,439091988628338;4,639310709107822;3,5727598462322026;4,183301865405959
1404;14;4;59;9;11;54;68088;84698;254955;255;17547856;1,9;17048887;1,8;17,548;17,049;;False;54;88;24443;33360;84,698;68,088;ROCHA;CERRO LARGO;36,931441663729295;67,36970952403371;35,614748872464524;65,58203917553142;6,1;2,8;4,2;3,8;1,7;2,6;16,651595480970684;5,541263545158426;2,8649399833039673;2,836091550983094;4,439091988628338;4,22080098617466;3,5727598462322026;4,183301865405959
1504;15;4;18;1;5;14;124861;84698;427098;427;25542275;2,8;17048887;1,8;25,542;17,049;;False;97;88;53810;33360;84,698;124,861;SALTO;CERRO LARGO;33,297819174922516;66,35408370372274;35,614748872464524;65,58203917553142;9,2;5,0;6,8;3,8;1,7;2,6;16,651595480970684;6,056784013228625;3,2403241560740703;2,836091550983094;4,439091988628338;4,827201118571573;3,5727598462322026;4,183301865405959
1604;16;4;31;3;4;28;108304;84698;417390;417;26930981;2,9;17048887;1,8;26,931;17,049;;False;154;88;40551;33360;84,698;108,304;SAN JOSE;CERRO LARGO;35,62451986999557;70,87153001936734;35,614748872464524;65,58203917553142;8,7;4,7;6,4;3,8;1,7;2,6;16,651595480970684;6,0330862217988015;3,293278039442661;2,836091550983094;4,439091988628338;4,6849420877662515;3,5727598462322026;4,183301865405959
1704;17;4;12;0;2;10;82594;84698;468718;469;22993631;2,5;17048887;1,8;22,994;17,049;;False;85;88;31637;33360;84,698;82,594;SORIANO;CERRO LARGO;35,76436545027484;70,56486944330861;35,614748872464524;65,58203917553142;8,3;3,0;5,2;3,8;1,7;2,6;16,651595480970684;6,150602768446279;3,1352333123315486;2,836091550983094;4,439091988628338;4,413937038663394;3,5727598462322026;4,183301865405959
1804;18;4;168;23;35;70;90051;84698;249464;249;18093592;2,0;17048887;1,8;18,094;17,049;102685,0;True;61;88;35648;33360;84,698;90,051;TACUAREMBO;CERRO LARGO;35,0003442493698;65,68821966341896;35,614748872464524;65,58203917553142;9,0;5,2;6,8;3,8;1,7;2,6;16,651595480970684;5,517452896464707;2,89558039160355;2,836091550983094;4,439091988628338;4,500376176502005;3,5727598462322026;4,183301865405959
1904;19;4;409;66;88;149;48134;84698;109230;109;11720592;1,3;17048887;1,8;11,721;17,049;216049,0;True;38;88;18500;33360;84,698;48,134;TREINTA Y TRES;CERRO LARGO;35,69273278763452;66,06116652354845;35,614748872464524;65,58203917553142;12,0;5,4;8,0;3,8;1,7;2,6;16,651595480970684;4,6913478822291435;2,4613821047410434;2,836091550983094;4,439091988628338;3,8739887881102124;3,5727598462322026;4,183301865405959
204;2;4;20;6;4;15;73377;84698;406688;407;14214980;1,5;17048887;1,8;14,215;17,049;;False;55;88;30880;33360;84,698;73,377;ARTIGAS;CERRO LARGO;33,966910612317214;63,54048882317126;35,614748872464524;65,58203917553142;11,5;5,4;8,1;3,8;1,7;2,6;16,651595480970684;6,008813185442595;2,654297745102963;2,836091550983094;4,439091988628338;4,295610535016993;3,5727598462322026;4,183301865405959
105;1;5;2100;236;683;1991;1318755;123203;172773;173;465848031;50,3;43788749;4,7;465,848;43,789;;False;3124;60;456072;43030;123,203;1318,755;MONTEVIDEO;COLONIA;37,481047654795624;70,39570159219609;37,63241966510556;76,05841493228472;7,4;5,1;6,2;4,1;2,5;3,2;17,594887470203254;5,153291594497779;6,143859400659784;3,7793826442885683;4,813833401452298;7,184443388686383;3,6278659040290733;4,3315016625812115
305;3;5;422;64;74;361;520173;123203;189989;190;86306492;9,3;43788749;4,7;86,306;43,789;;False;563;60;197993;43030;123,203;520,173;CANELONES;COLONIA;35,40663971409512;71,04518002114733;37,63241966510556;76,05841493228472;8,1;4,3;6,0;4,1;2,5;3,2;17,594887470203254;5,247024072160486;4,457899120585731;3,7793826442885683;4,813833401452298;6,254161448553351;3,6278659040290733;4,3315016625812115
405;4;5;63;14;12;54;84698;123203;472743;473;17048887;1,8;43788749;4,7;17,049;43,789;;False;88;60;33360;43030;123,203;84,698;CERRO LARGO;COLONIA;35,614748872464524;65,58203917553142;37,63241966510556;76,05841493228472;3,8;1,7;2,6;4,1;2,5;3,2;17,594887470203254;6,159095388491933;2,836091550983094;3,7793826442885683;4,813833401452298;4,439091988628338;3,6278659040290733;4,3315016625812115
