loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m
8724,18220,1,1030,54755,872418220,324868
9220,18220,13,38446,54755,922018220,401464
9522,18220,3,5118,54755,952218220,306512
9621,18220,5,1626,54755,962118220,380537
9622,18220,2,2825,54755,962218220,394604
9721,18220,4,713,54755,972118220,346355
10320,18220,10,62590,54755,1032018220,460199
10321,18220,6,27471,54755,1032118220,459180
10522,18220,1,6597,54755,1052218220,429685
10523,18220,9,8830,54755,1052318220,430327
10524,18220,1,9277,54755,1052418220,463879
10942,18220,5,339,54755,1094218220,470090
10948,18220,1,234,54755,1094818220,448989
10956,18220,1,750,54755,1095618220,450313
11120,18220,51,76412,54755,1112018220,234705
11521,18220,7,5039,54755,1152118220,162467
11621,18220,1,2853,54755,1162118220,208109
11695,18220,13,1111,54755,1169518220,37801
11821,18220,5,115,54755,1182118220,91482
11825,18220,4,331,54755,1182518220,218300
11894,18220,6,122,54755,1189418220,63412
11924,18220,2,50,54755,1192418220,196797
11929,18220,1,197,54755,1192918220,133291
11953,18220,3,700,54755,1195318220,160198
11958,18220,2,135,54755,1195818220,203392
12320,18220,10,24406,54755,1232018220,320767
12421,18220,15,16756,54755,1242118220,225411
12622,18220,4,1781,54755,1262218220,273345
13220,18220,201,64465,54755,1322018220,111011
13521,18220,75,3788,54755,1352118220,60785
13522,18220,43,7235,54755,1352218220,82681
13621,18220,7,3698,54755,1362118220,143163
13823,18220,1,107,54755,1382318220,108986
13824,18220,1,128,54755,1382418220,104422
13832,18220,2,359,54755,1383218220,88996
13943,18220,2,240,54755,1394318220,111820
14320,18220,6,25422,54755,1432018220,445313
14521,18220,1,9675,54755,1452118220,428737
14622,18220,1,1022,54755,1462218220,390805
14722,18220,2,3495,54755,1472218220,469982
15120,18220,69,104011,54755,1512018220,216719
15822,18220,1,345,54755,1582218220,134171
15830,18220,1,67,54755,1583018220,70053
15831,18220,1,210,54755,1583118220,136923
15949,18220,1,733,54755,1594918220,153093
15957,18220,7,64,54755,1595718220,76939
15965,18220,1,481,54755,1596518220,141469
15971,18220,1,101,54755,1597118220,159550
15973,18220,1,88,54755,1597318220,95493
16220,18220,19,36743,54755,1622018220,324294
16421,18220,5,10166,54755,1642118220,364458
16521,18220,2,20239,54755,1652118220,387190
16824,18220,6,6870,54755,1682418220,383669
17220,18220,14,41974,54755,1722018220,317389
17321,18220,1,17174,54755,1732118220,354706
17521,18220,1,4600,54755,1752118220,306109
19220,18220,4,25477,54755,1922018220,277647
19521,18220,2,2341,54755,1952118220,246954
19522,18220,2,3810,54755,1952218220,286399
19790,18220,1,1694,54755,1979018220,277885
1020,18321,260,1304729,12985,102018321,242024
2220,18321,11,40657,12985,222018321,342667
2521,18321,6,12200,12985,252118321,400527
2621,18321,5,2531,12985,262118321,359021
3221,18321,4,71258,12985,322118321,228917
3320,18321,11,19865,12985,332018321,205454
3322,18321,4,25947,12985,332218321,241467
3323,18321,8,16742,12985,332318321,205240
3422,18321,6,7133,12985,342218321,189055
3631,18321,6,4397,12985,363118321,240995
3726,18321,1,3146,12985,372618321,253007
3732,18321,4,18573,12985,373218321,254685
3828,18321,9,21091,12985,382818321,254688
4522,18321,2,14604,12985,452218321,397164
5829,18321,1,60,12985,582918321,240561
6220,18321,21,34368,12985,622018321,67614
6421,18321,9,7176,12985,642118321,138122
6521,18321,6,2692,12985,652118321,98866
6622,18321,1,1443,12985,662218321,167141
6721,18321,22,976,12985,672118321,31074
6722,18321,22,1136,12985,672218321,3778
6821,18321,13,161,12985,682118321,42829
7320,18321,12,21429,12985,732018321,108011
8220,18321,11,33639,12985,822018321,155433
8421,18321,4,6130,12985,842118321,110877
8521,18321,1,2402,12985,852118321,223180
9521,18321,2,2203,12985,952118321,197578
9522,18321,1,5118,12985,952218321,265571
10320,18321,14,62590,12985,1032018321,322754
10321,18321,3,27471,12985,1032118321,321735
10521,18321,1,2465,12985,1052118321,316757
