,cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
160,1810,18,TACUAREMBO,10,MALDONADO,363,18093592,90051,51311595,164298,420028,17.753427307993373,12.948076654704094
161,1910,19,TREINTA Y TRES,10,MALDONADO,776,11720592,48134,51311595,164298,216964,17.753427307993373,12.287486720142388
162,111,1,MONTEVIDEO,11,PAYSANDU,1075,465848031,1318755,26828524,113107,368049,17.104976207843436,12.815971360461017
163,211,2,ARTIGAS,11,PAYSANDU,200,14214980,73377,26828524,113107,304615,17.104976207843436,12.626803963142066
164,311,3,CANELONES,11,PAYSANDU,148,86306492,520173,26828524,113107,360017,17.104976207843436,12.79390653153958
165,411,4,CERRO LARGO,11,PAYSANDU,61,17048887,84698,26828524,113107,444740,17.104976207843436,13.005245120733424
166,511,5,COLONIA,11,PAYSANDU,71,43788749,123203,26828524,113107,251003,17.104976207843436,12.43322017023373
167,611,6,DURAZNO,11,PAYSANDU,59,13023942,57084,26828524,113107,256355,17.104976207843436,12.454318481605211
168,711,7,FLORES,11,PAYSANDU,30,7284124,25050,26828524,113107,187006,17.104976207843436,12.13889598088349
169,811,8,FLORIDA,11,PAYSANDU,47,17767290,67047,26828524,113107,311295,17.104976207843436,12.64849629462387
170,911,9,LAVALLEJA,11,PAYSANDU,28,15594153,58815,26828524,113107,422158,17.104976207843436,12.953134930528059
171,1011,10,MALDONADO,11,PAYSANDU,95,51311595,164298,26828524,113107,457848,17.104976207843436,13.034292530283462
172,1211,12,RIO NEGRO,11,PAYSANDU,516,24297744,54765,26828524,113107,78653,17.104976207843436,11.272801051433479
173,1311,13,RIVERA,11,PAYSANDU,143,20212707,103473,26828524,113107,340542,17.104976207843436,12.738293744982585
174,1411,14,ROCHA,11,PAYSANDU,32,17547856,68088,26828524,113107,536213,17.104976207843436,13.192286749174917
175,1511,15,SALTO,11,PAYSANDU,564,25542275,124861,26828524,113107,121840,17.104976207843436,11.710463987569044
176,1611,16,SAN JOSE,11,PAYSANDU,59,26930981,108304,26828524,113107,306531,17.104976207843436,12.633074171168863
177,1711,17,SORIANO,11,PAYSANDU,181,22993631,82594,26828524,113107,145587,17.104976207843436,11.888529125044231
178,1811,18,TACUAREMBO,11,PAYSANDU,261,18093592,90051,26828524,113107,240570,17.104976207843436,12.390766386469185
179,1911,19,TREINTA Y TRES,11,PAYSANDU,16,11720592,48134,26828524,113107,454655,17.104976207843436,13.027294168564168
180,112,1,MONTEVIDEO,12,RIO NEGRO,886,465848031,1318755,24297744,54765,314778,17.00589406449475,12.659622907441593
181,212,2,ARTIGAS,12,RIO NEGRO,57,14214980,73377,24297744,54765,380389,17.00589406449475,12.848949692305721
182,312,3,CANELONES,12,RIO NEGRO,154,86306492,520173,24297744,54765,313049,17.00589406449475,12.654115006790459
183,412,4,CERRO LARGO,12,RIO NEGRO,41,17048887,84698,24297744,54765,486392,17.00589406449475,13.094770162130414
184,512,5,COLONIA,12,RIO NEGRO,88,43788749,123203,24297744,54765,173120,17.00589406449475,12.061740274640254
185,612,6,DURAZNO,12,RIO NEGRO,62,13023942,57084,24297744,54765,235479,17.00589406449475,12.36937701648803
186,712,7,FLORES,12,RIO NEGRO,36,7284124,25050,24297744,54765,166130,17.00589406449475,12.020525893380524
187,812,8,FLORIDA,12,RIO NEGRO,30,17767290,67047,24297744,54765,290419,17.00589406449475,12.57907998678977
188,912,9,LAVALLEJA,12,RIO NEGRO,11,15594153,58815,24297744,54765,401282,17.00589406449475,12.902419701025254
189,1012,10,MALDONADO,12,RIO NEGRO,95,51311595,164298,24297744,54765,424528,17.00589406449475,12.958733242511164
190,1112,11,PAYSANDU,12,RIO NEGRO,640,26828524,113107,24297744,54765,78653,17.00589406449475,11.272801051433479
191,1312,13,RIVERA,12,RIO NEGRO,36,20212707,103473,24297744,54765,382194,17.00589406449475,12.853683612077958
192,1412,14,ROCHA,12,RIO NEGRO,30,17547856,68088,24297744,54765,515337,17.00589406449475,13.152576334571917
193,1512,15,SALTO,12,RIO NEGRO,161,25542275,124861,24297744,54765,197614,17.00589406449475,12.194070911988577
194,1612,16,SAN JOSE,12,RIO NEGRO,55,26930981,108304,24297744,54765,255903,17.00589406449475,12.452553745408588
195,1712,17,SORIANO,12,RIO NEGRO,372,22993631,82594,24297744,54765,67704,17.00589406449475,11.122900541349942
196,1812,18,TACUAREMBO,12,RIO NEGRO,134,18093592,90051,24297744,54765,282223,17.00589406449475,12.550452817560215
197,1912,19,TREINTA Y TRES,12,RIO NEGRO,16,11720592,48134,24297744,54765,443288,17.00589406449475,13.001974950662264
198,113,1,MONTEVIDEO,13,RIVERA,1665,465848031,1318755,20212707,103473,496209,16.821822024002444,13.11475248792299
199,213,2,ARTIGAS,13,RIVERA,146,14214980,73377,20212707,103473,165820,16.821822024002444,12.01865814167021
200,313,3,CANELONES,13,RIVERA,320,86306492,520173,20212707,103473,494737,16.821822024002444,13.111781587222676
201,413,4,CERRO LARGO,13,RIVERA,145,17048887,84698,20212707,103473,240877,16.821822024002444,12.392041708743951
202,513,5,COLONIA,13,RIVERA,34,43788749,123203,20212707,103473,484791,16.821822024002444,13.091473149208486
203,613,6,DURAZNO,13,RIVERA,42,13023942,57084,20212707,103473,336662,16.821822024002444,12.726834738667124
204,713,7,FLORES,13,RIVERA,10,7284124,25050,20212707,103473,359526,16.821822024002444,12.792541776198457
205,813,8,FLORIDA,13,RIVERA,46,17767290,67047,20212707,103473,419304,16.821822024002444,12.946351472822391
206,913,9,LAVALLEJA,13,RIVERA,25,15594153,58815,20212707,103473,464966,16.821822024002444,13.049719563616652
207,1013,10,MALDONADO,13,RIVERA,117,51311595,164298,20212707,103473,533799,16.821822024002444,13.187774642589996
208,1113,11,PAYSANDU,13,RIVERA,66,26828524,113107,20212707,103473,340542,16.821822024002444,12.738293744982585
209,1213,12,RIO NEGRO,13,RIVERA,54,24297744,54765,20212707,103473,382194,16.821822024002444,12.853683612077958
210,1413,14,ROCHA,13,RIVERA,17,17547856,68088,20212707,103473,466323,16.821822024002444,13.052633806049226
211,1513,15,SALTO,13,RIVERA,97,25542275,124861,20212707,103473,286890,16.821822024002444,12.566854146011698
212,1613,16,SAN JOSE,13,RIVERA,32,26930981,108304,20212707,103473,460064,16.821822024002444,13.03912088922232
213,1713,17,SORIANO,13,RIVERA,18,22993631,82594,20212707,103473,446791,16.821822024002444,13.009846202733481
214,1813,18,TACUAREMBO,13,RIVERA,421,18093592,90051,20212707,103473,145335,16.821822024002444,11.886796701487214
215,1913,19,TREINTA Y TRES,13,RIVERA,23,11720592,48134,20212707,103473,324423,16.821822024002444,12.689803498833404
216,114,1,MONTEVIDEO,14,ROCHA,1266,465848031,1318755,17547856,68088,253583,16.680442335171204,12.443446464597967
217,214,2,ARTIGAS,14,ROCHA,47,14214980,73377,17547856,68088,623189,16.680442335171204,13.342605122548495
218,314,3,CANELONES,14,ROCHA,360,86306492,520173,17547856,68088,232421,16.680442335171204,12.356305661323328
219,414,4,CERRO LARGO,14,ROCHA,95,17048887,84698,17547856,68088,254936,16.680442335171204,12.448767812247556
220,514,5,COLONIA,14,ROCHA,35,43788749,123203,17547856,68088,398581,16.680442335171204,12.895666018790813
221,614,6,DURAZNO,14,ROCHA,61,13023942,57084,17547856,68088,299700,16.680442335171204,12.610537253304754
222,714,7,FLORES,14,ROCHA,13,7284124,25050,17547856,68088,350525,16.680442335171204,12.767187309589332
223,814,8,FLORIDA,14,ROCHA,62,17767290,67047,17547856,68088,253258,16.680442335171204,12.442164010950595
224,914,9,LAVALLEJA,14,ROCHA,150,15594153,58815,17547856,68088,153094,16.680442335171204,11.938807390805975
225,1014,10,MALDONADO,14,ROCHA,535,51311595,164298,17547856,68088,141478,16.680442335171204,11.85989950694582
226,1114,11,PAYSANDU,14,ROCHA,50,26828524,113107,17547856,68088,536210,16.680442335171204,13.192281154367645
227,1214,12,RIO NEGRO,14,ROCHA,48,24297744,54765,17547856,68088,515332,16.680442335171204,13.152566632135926
228,1314,13,RIVERA,14,ROCHA,46,20212707,103473,17547856,68088,466304,16.680442335171204,13.052593060928182
229,1514,15,SALTO,14,ROCHA,38,25542275,124861,17547856,68088,624375,16.680442335171204,13.344506428384955
230,1614,16,SAN JOSE,14,ROCHA,47,26930981,108304,17547856,68088,292086,16.680442335171204,12.584803558435702
