cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
7320,"-33.5214825688165,-56.89958042575091",9220,"-34.37662152849474,-55.244018002185456",73209220,219636
7320,"-33.5214825688165,-56.89958042575091",10320,"-34.8972187652653,-54.94737237904476",732010320,273774
7320,"-33.5214825688165,-56.89958042575091",11120,"-32.318768140700776,-58.07902159500193",732011120,182784
7320,"-33.5214825688165,-56.89958042575091",12320,"-33.12672715408673,-58.29894536750416",732012320,157056
7320,"-33.5214825688165,-56.89958042575091",13220,"-30.91647986120184,-55.569795769247854",732013220,356166
7320,"-33.5214825688165,-56.89958042575091",14320,"-34.47922798203669,-54.326604990723666",732014320,329043
7320,"-33.5214825688165,-56.89958042575091",15120,"-31.39099520425074,-57.938559131114474",732015120,297242
7320,"-33.5214825688165,-56.89958042575091",16220,"-34.338333026427584,-56.71343246500763",732016220,96952
7320,"-33.5214825688165,-56.89958042575091",17220,"-33.255057139215,-58.03061475685623",732017220,126832
7320,"-33.5214825688165,-56.89958042575091",18220,"-31.71656576589131,-55.98227865899393",732018220,246045
7320,"-33.5214825688165,-56.89958042575091",19220,"-33.23222966487474,-54.38252254973986",732019220,277034
8220,"-34.10300406870569,-56.22187817478847",1020,"-34.83459368462574,-56.200727322283996",82201020,87833
8220,"-34.10300406870569,-56.22187817478847",2220,"-30.42583821419782,-56.48691836714405",82202220,488851
8220,"-34.10300406870569,-56.22187817478847",3320,"-34.5248820942228,-56.28134757794109",82203320,51132
8220,"-34.10300406870569,-56.22187817478847",4220,"-32.366965911958815,-54.16797657500114",82204220,320533
8220,"-34.10300406870569,-56.22187817478847",5320,"-34.45055037560706,-57.838919942012616",82205320,180681
8220,"-34.10300406870569,-56.22187817478847",6220,"-33.38250225260489,-56.5226838660229",82206220,88592
8220,"-34.10300406870569,-56.22187817478847",7320,"-33.5214825688165,-56.89958042575091",82207320,110917
8220,"-34.10300406870569,-56.22187817478847",9220,"-34.37662152849474,-55.244018002185456",82209220,109677
8220,"-34.10300406870569,-56.22187817478847",10320,"-34.8972187652653,-54.94737237904476",822010320,163814
8220,"-34.10300406870569,-56.22187817478847",11120,"-32.318768140700776,-58.07902159500193",822011120,293705
8220,"-34.10300406870569,-56.22187817478847",12320,"-33.12672715408673,-58.29894536750416",822012320,267977
