loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m,geom_ori,geom_des
3830,5423,1,4724,9857,38305423,284451,POINT (604677.5426081594 6151288.533430437),POINT (370211.3425855851 6249962.711012445)
4220,5423,4,51830,9857,42205423,496244,POINT (766475.5195453273 6415360.379009241),POINT (370211.3425855851 6249962.711012445)
6220,5423,2,34368,9857,62205423,205249,POINT (544395.6968756896 6306205.764611009),POINT (370211.3425855851 6249962.711012445)
7721,5423,1,918,9857,77215423,134573,POINT (491662.4149445419 6242035.962422337),POINT (370211.3425855851 6249962.711012445)
8220,5423,5,33639,9857,82205423,255383,POINT (571771.8401191942 6226149.775983537),POINT (370211.3425855851 6249962.711012445)
10320,5423,6,62590,9857,103205423,376358,POINT (687553.5499826567 6136432.37380928),POINT (370211.3425855851 6249962.711012445)
10524,5423,6,9277,9857,105245423,380036,POINT (688889.8077629332 6131313.453030547),POINT (370211.3425855851 6249962.711012445)
11120,5423,15,76412,9857,111205423,203384,POINT (398432.2411582735 6423719.024001375),POINT (370211.3425855851 6249962.711012445)
12320,5423,25,24406,9857,123205423,116711,POINT (378827.4881471876 6333913.219373153),POINT (370211.3425855851 6249962.711012445)
12421,5423,4,16756,9857,124215423,175072,POINT (439932.1564416874 6381387.888885491),POINT (370211.3425855851 6249962.711012445)
13220,5423,3,64465,9857,132205423,510370,POINT (636661.5683717782 6578777.675353965),POINT (370211.3425855851 6249962.711012445)
13943,5423,1,240,9857,139435423,474444,POINT (594841.5170564686 6560716.544260313),POINT (370211.3425855851 6249962.711012445)
14320,5423,2,25422,9857,143205423,446258,POINT (745519.4398337225 6181462.080838162),POINT (370211.3425855851 6249962.711012445)
15120,5423,11,104011,9857,151205423,317475,POINT (410765.2865832467 6526683.944983927),POINT (370211.3425855851 6249962.711012445)
16220,5423,1,36743,9857,162205423,187085,POINT (526358.5499632334 6200292.109874669),POINT (370211.3425855851 6249962.711012445)
