cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
708,7,FLORES,8,FLORIDA,76,7284124,25050,17767290,67047,125607,16.692869684280286,11.740913263947315
908,9,LAVALLEJA,8,FLORIDA,138,15594153,58815,17767290,67047,130899,16.692869684280286,11.782181312449406
1008,10,MALDONADO,8,FLORIDA,121,51311595,164298,17767290,67047,166582,16.692869684280286,12.023242959660504
1108,11,PAYSANDU,8,FLORIDA,57,26828524,113107,17767290,67047,311287,16.692869684280286,12.64847059519793
1208,12,RIO NEGRO,8,FLORIDA,27,24297744,54765,17767290,67047,290411,16.692869684280286,12.579052440003274
1308,13,RIVERA,8,FLORIDA,63,20212707,103473,17767290,67047,419126,16.692869684280286,12.945926869688737
1408,14,ROCHA,8,FLORIDA,45,17547856,68088,17767290,67047,253255,16.692869684280286,12.442152165252656
1508,15,SALTO,8,FLORIDA,48,25542275,124861,17767290,67047,427875,16.692869684280286,12.966586375832486
1608,16,SAN JOSE,8,FLORIDA,252,26930981,108304,17767290,67047,96337,16.692869684280286,11.475607739985847
1708,17,SORIANO,8,FLORIDA,40,22993631,82594,17767290,67047,250607,16.692869684280286,12.431641254014881
1808,18,TACUAREMBO,8,FLORIDA,92,18093592,90051,17767290,67047,282751,16.692869684280286,12.552321930665304
1908,19,TREINTA Y TRES,8,FLORIDA,58,11720592,48134,17767290,67047,238184,16.692869684280286,12.380798763202296
109,1,MONTEVIDEO,9,LAVALLEJA,825,465848031,1318755,15594153,58815,134424,16.562406594269497,11.808754262557779
209,2,ARTIGAS,9,LAVALLEJA,15,14214980,73377,15594153,58815,593134,16.562406594269497,13.293175622098437
309,3,CANELONES,9,LAVALLEJA,403,86306492,520173,15594153,58815,114784,16.562406594269497,11.65080738033201
409,4,CERRO LARGO,9,LAVALLEJA,131,17048887,84698,15594153,58815,268550,16.562406594269497,12.500792395333605
509,5,COLONIA,9,LAVALLEJA,19,43788749,123203,15594153,58815,280944,16.562406594269497,12.545910640199113
