cod,depto_origen,depto_destino,personas_mig,personas_mig_100k,pob_origen,pob_destino,dist,pbi_origen,pbi_porcen_ori,pbi_destino,pbi_porcen_des,largo_limite,dummy_limit,empresas_origen,empresas_destino,log_pbi_destino,log_dist,nom_depto_orig,nom_depto_des
804,8,4,37,30,67047,84698,335796,17767290,1.9,17048887,1.8,,False,101,88,16.651595480970684,12.724259111702338,FLORIDA,CERRO LARGO
805,8,5,107,84,67047,123203,194958,17767290,1.9,43788749,4.7,,False,101,60,17.594887470203254,12.180539429731901,FLORIDA,COLONIA
806,8,6,307,53,67047,57084,121653,17767290,1.9,13023942,1.4,182177.0,True,101,40,16.38229991389759,11.708928008820047,FLORIDA,DURAZNO
807,8,7,84,26,67047,25050,125607,17767290,1.9,7284124,0.8,52794.0,True,101,28,15.801207743298134,11.740913263947315,FLORIDA,FLORES
809,8,9,163,36,67047,58815,130899,17767290,1.9,15594153,1.7,116143.0,True,101,54,16.562406594269497,11.782181312449406,FLORIDA,LAVALLEJA
810,8,10,310,280,67047,164298,166590,17767290,1.9,51311595,5.5,,False,101,188,17.753427307993373,12.023290982903763,FLORIDA,MALDONADO
811,8,11,47,42,67047,113107,311240,17767290,1.9,26828524,2.9,,False,101,144,17.104976207843436,12.648319597730866,FLORIDA,PAYSANDU
812,8,12,30,16,67047,54765,290364,17767290,1.9,24297744,2.6,,False,101,67,17.00589406449475,12.578890587306093,FLORIDA,RIO NEGRO
813,8,13,46,34,67047,103473,419126,17767290,1.9,20212707,2.2,,False,101,62,16.821822024002444,12.945926869688737,FLORIDA,RIVERA
814,8,14,62,53,67047,68088,253261,17767290,1.9,17547856,1.9,,False,101,54,16.680442335171204,12.442175856508216,FLORIDA,ROCHA
815,8,15,19,18,67047,124861,427824,17767290,1.9,25542275,2.8,,False,101,97,17.05584548056092,12.96646717503861,FLORIDA,SALTO
816,8,16,321,39,67047,108304,96337,17767290,1.9,26930981,2.9,70039.0,True,101,154,17.108787891900022,11.475607739985847,FLORIDA,SAN JOSE
817,8,17,51,20,67047,82594,250560,17767290,1.9,22993631,2.5,,False,101,85,16.95072782250245,12.431453691784576,FLORIDA,SORIANO
818,8,18,68,52,67047,90051,282751,17767290,1.9,18093592,2.0,,False,101,61,16.71106840040235,12.552321930665304,FLORIDA,TACUAREMBO
819,8,19,64,43,67047,48134,238184,17767290,1.9,11720592,1.3,44278.0,True,101,38,16.276857852782847,12.380798763202296,FLORIDA,TREINTA Y TRES
901,9,1,1264,1171,58815,1318755,134438,15594153,1.7,465848031,50.3,,False,54,3124,19.959370025169367,11.80885840520354,LAVALLEJA,MONTEVIDEO
902,9,2,7,7,58815,73377,593134,15594153,1.7,14214980,1.5,,False,54,55,16.469806896101773,13.293175622098437,LAVALLEJA,ARTIGAS
903,9,3,446,99,58815,520173,114784,15594153,1.7,86306492,9.3,51167.0,True,54,563,18.273415379180292,11.65080738033201,LAVALLEJA,CANELONES
904,9,4,64,56,58815,84698,268569,15594153,1.7,17048887,1.8,,False,54,88,16.651595480970684,12.500863143156742,LAVALLEJA,CERRO LARGO
905,9,5,39,29,58815,123203,280946,15594153,1.7,43788749,4.7,,False,54,60,17.594887470203254,12.5459177590302,LAVALLEJA,COLONIA
906,9,6,29,16,58815,57084,202724,15594153,1.7,13023942,1.4,,False,54,40,16.38229991389759,12.219600727009865,LAVALLEJA,DURAZNO
907,9,7,17,17,58815,25050,236470,15594153,1.7,7284124,0.8,,False,54,28,15.801207743298134,12.373576628973705,LAVALLEJA,FLORES
908,9,8,138,44,58815,67047,130899,15594153,1.7,17767290,1.9,116143.0,True,54,101,16.692869684280286,11.782181312449406,LAVALLEJA,FLORIDA
910,9,10,936,140,58815,164298,86435,15594153,1.7,51311595,5.5,151560.0,True,54,188,17.753427307993373,11.367147965356887,LAVALLEJA,MALDONADO
911,9,11,28,22,58815,113107,422102,15594153,1.7,26828524,2.9,,False,54,144,17.104976207843436,12.953002269973059,LAVALLEJA,PAYSANDU
912,9,12,11,5,58815,54765,401227,15594153,1.7,24297744,2.6,,False,54,67,17.00589406449475,12.902282630911184,LAVALLEJA,RIO NEGRO
913,9,13,25,22,58815,103473,464972,15594153,1.7,20212707,2.2,,False,54,62,16.821822024002444,13.04973246770273,LAVALLEJA,RIVERA
914,9,14,150,88,58815,68088,153094,15594153,1.7,17547856,1.9,72324.0,True,54,54,16.680442335171204,11.938807390805975,LAVALLEJA,ROCHA
915,9,15,15,11,58815,124861,542686,15594153,1.7,25542275,2.8,,False,54,97,17.05584548056092,13.20428616277753,LAVALLEJA,SALTO
916,9,16,45,28,58815,108304,174452,15594153,1.7,26930981,2.9,,False,54,154,17.108787891900022,12.06940491115224,LAVALLEJA,SAN JOSE
917,9,17,11,10,58815,82594,346834,15594153,1.7,22993631,2.5,,False,54,85,16.95072782250245,12.75660155829868,LAVALLEJA,SORIANO
918,9,18,45,38,58815,90051,354035,15594153,1.7,18093592,2.0,,False,54,61,16.71106840040235,12.777151057285087,LAVALLEJA,TACUAREMBO
919,9,19,221,51,58815,48134,163121,15594153,1.7,11720592,1.3,128202.0,True,54,38,16.276857852782847,12.002247535685651,LAVALLEJA,TREINTA Y TRES
1001,10,1,2333,1918,164298,1318755,124244,51311595,5.5,465848031,50.3,,False,188,3124,19.959370025169367,11.730002653054457,MALDONADO,MONTEVIDEO
1002,10,2,46,45,164298,73377,658957,51311595,5.5,14214980,1.5,,False,188,55,16.469806896101773,13.398413560976383,MALDONADO,ARTIGAS
1003,10,3,862,405,164298,520173,113400,51311595,5.5,86306492,9.3,24113.0,True,188,563,18.273415379180292,11.638676670275789,MALDONADO,CANELONES
1004,10,4,208,198,164298,84698,322429,51311595,5.5,17048887,1.8,,False,188,88,16.651595480970684,12.683638235941526,MALDONADO,CERRO LARGO
1005,10,5,196,170,164298,123203,296919,51311595,5.5,43788749,4.7,,False,188,60,17.594887470203254,12.601214653315264,MALDONADO,COLONIA
1006,10,6,75,63,164298,57084,260814,51311595,5.5,13023942,1.4,,False,188,40,16.38229991389759,12.471562788575458,MALDONADO,DURAZNO
1007,10,7,58,56,164298,25050,272152,51311595,5.5,7284124,0.8,,False,188,28,15.801207743298134,12.514116012723823,MALDONADO,FLORES
1008,10,8,121,95,164298,67047,166582,51311595,5.5,17767290,1.9,,False,188,101,16.692869684280286,12.023242959660504,MALDONADO,FLORIDA
1009,10,9,407,35,164298,58815,85327,51311595,5.5,15594153,1.7,151560.0,True,188,54,16.562406594269497,11.354246213289242,MALDONADO,LAVALLEJA
1011,10,11,95,84,164298,113107,457785,51311595,5.5,26828524,2.9,,False,188,144,17.104976207843436,13.034154920564069,MALDONADO,PAYSANDU
1012,10,12,95,79,164298,54765,423946,51311595,5.5,24297744,2.6,,False,188,67,17.00589406449475,12.957361367612748,MALDONADO,RIO NEGRO
1013,10,13,117,111,164298,103473,533797,51311595,5.5,20212707,2.2,,False,188,62,16.821822024002444,13.18777089585434,MALDONADO,RIVERA
1014,10,14,535,231,164298,68088,141478,51311595,5.5,17547856,1.9,117320.0,True,188,54,16.680442335171204,11.85989950694582,MALDONADO,ROCHA
1015,10,15,98,95,164298,124861,574370,51311595,5.5,25542275,2.8,,False,188,97,17.05584548056092,13.261029066939944,MALDONADO,SALTO
1016,10,16,131,107,164298,108304,191187,51311595,5.5,26930981,2.9,,False,188,154,17.108787891900022,12.161007285656103,MALDONADO,SAN JOSE
1017,10,17,110,102,164298,82594,365864,51311595,5.5,22993631,2.5,,False,188,85,16.95072782250245,12.810016958629348,MALDONADO,SORIANO
